"stars","funny","useful","cool","user_cool","characters","user_average_stars","biz_review_count","user_useful","user_funny","biz_open","biz_stars","words","user_review_count","year","mday","month","wdaySun1","isWeekend"
5,0,0,0,0,1031,4.33,6,1,0,1,4,195,6,2012,16,7,2,0
2,0,0,0,51,1333,4.17,6,147,27,1,3.5,271,212,2011,23,4,7,1
2,0,1,0,0,313,2.4,77,4,0,1,4,61,5,2012,11,6,2,0
1,7,6,5,1074,3285,3.71,9,1299,1105,0,3,612,350,2009,18,6,5,0
2,0,3,0,3,492,3,79,10,0,1,3,96,5,2011,18,3,6,0
3,0,2,0,121,374,3.57,72,233,57,1,4,60,117,2010,3,1,1,1
5,0,0,0,0,117,5,74,0,0,1,4.5,20,1,2011,10,9,7,1
3,0,1,0,32,48,3.92,24,73,39,0,3.5,7,90,2008,27,12,7,1
4,10,10,11,3943,2233,3.74,291,4287,3969,1,4,400,417,2009,16,8,1,1
3,0,2,0,0,141,4,11,7,0,1,3.5,27,5,2011,7,4,5,0
5,0,2,1,0,558,0,3,0,0,1,5,102,0,2011,22,12,5,0
5,2,1,1,66,509,4.02,67,137,79,1,4.5,98,55,2008,11,5,1,1
2,1,2,1,175,645,3.76,16,238,48,1,3,111,127,2012,29,11,5,0
1,2,0,0,0,761,0,349,0,0,1,4,137,0,2011,17,9,7,1
5,0,1,1,2,449,4.5,56,7,0,0,4.5,77,2,2010,8,7,5,0
5,0,0,0,0,217,4.83,144,6,1,1,4,37,7,2011,16,2,4,0
5,0,0,0,0,710,4.3,109,0,0,1,4,130,10,2011,24,10,2,0
5,0,3,1,336,68,3.45,14,564,308,1,4,11,190,2009,29,6,2,0
2,0,3,0,0,1113,3.5,48,4,0,0,3,216,2,2011,22,8,2,0
4,0,0,0,25,875,4.18,31,49,2,1,3.5,161,38,2010,3,12,6,0
5,1,0,0,1,806,5,98,2,1,1,4,153,2,2012,1,3,5,0
5,0,0,0,1,387,4.3,8,27,3,1,4,72,32,2012,5,12,4,0
1,0,2,0,4,998,3.29,109,5,1,0,3.5,182,7,2009,19,11,5,0
5,0,0,0,118,1572,3.66,80,245,87,1,4.5,289,425,2009,6,7,2,0
5,0,1,0,3,107,3.55,271,13,3,1,4,23,22,2012,7,7,7,1
5,0,0,0,11,643,3.43,4,75,11,0,5,109,28,2011,18,7,2,0
5,0,0,1,1,620,3.83,357,0,0,1,4,125,6,2010,24,2,4,0
1,0,3,0,0,1147,2.33,3,4,0,1,1,214,3,2012,9,11,6,0
2,0,0,0,0,1005,0,264,0,0,1,4.5,186,0,2011,24,9,7,1
5,0,0,0,19,269,3.72,105,125,26,1,4.5,50,138,2011,16,11,4,0
3,0,3,3,451,971,4.06,30,521,260,1,3,184,163,2008,11,4,6,0
